Year,Average,Health_CPI,CPI_No_Housing,Housing,exchange_rate,gdp_con_factor,ppp_pri_con
1997,63.34027299,59.14730986,71.36809679,43.99539683,3.44935,0.918695425,3.990357
1998,66.78271739,63.39216037,75.16163824,45.64746728,3.800075,0.881126286,4.175938
1999,70.25171578,69.13087525,79.63719047,47.55700326,4.139716667,0.84659299,4.34346
2000,71.04193629,71.4340052,81.20976027,45.27102147,4.077333333,0.841887033,4.026745
2001,71.83464988,74.63619573,81.50171945,43.69306989,4.20565,0.812230782,3.978883
2002,75.92020118,79.04161846,84.85787162,45.99465564,4.737825,0.730861581,4.073917
2003,76.42851482,81.02665432,86.86631893,43.38879245,4.554133333,0.795978349,4.102764
2004,76.11232868,82.79783667,87.07137577,43.06501005,4.481983333,0.788923695,4.022513
2005,77.12412434,84.28589322,88.58455381,43.15863387,4.4877,0.828249883,4.070749
2006,78.74932112,86.19534631,90.60683848,43.35563401,4.455808333,0.854419408,4.187637
2007,79.15556973,87.55961104,91.7084321,42.68271275,4.108082949,0.909975658,4.135969
2008,82.79203922,89.34111761,96.23192936,45.91468529,3.588021194,1.077816332,4.324834
2009,85.53809225,91.18805144,97.12969631,52.20113519,3.932335478,1.014638507,4.329142
2010,87.84228797,92.25227174,99.08656576,61.38797324,3.738975,1.067330218,4.359497
2011,90.87302972,94.32794786,101.8030855,67.84606682,3.578129306,1.102465188,4.270233
2012,92.42478827,96.41899935,102.8686972,70.04232577,3.855921825,1.025787912,4.283958
2013,93.83507328,97.99428377,103.9995837,76.39899354,3.610758333,1.063368314,4.426943
2014,94.28168695,98.62090732,103.7766479,81.25377909,3.577925,1.101305086,4.575621
2015,93.68538069,99.12223027,102.1843627,86.01299031,3.886833333,1.009542901,4.553442
2016,93.17485506,98.99895413,100.6962829,92.42817297,3.840566667,0.986445837,4.294673
2017,93.40055451,100.0137961,100.3524673,96.03269032,3.599555548,1.042248953,4.252362
2018,94.15403537,100.4263603,100.7385029,95.23688779,3.590558127,1.054060084,4.182192
2019,94.9465108,100.3932396,101.183283,97.03329497,3.564527347,1.070791056,4.242423
2020,94.38947872,100.041834,99.99160792,100,3.442405852,1.08839607,4.211299
2021,95.79792257,,,,3.230198323,1.130138968,4.042527
2022,100.0078691,,,,3.359614402,1.053656931,3.837451
