,s_seker,1,2,3,4,5,6,7,8,9,10,total
net,1997,3000.1433109225313,4180.177490402982,6253.685233270184,7140.864608827573,8618.076964867148,10421.433146718586,12485.731521348913,14409.615398699689,17280.04772124865,26913.89545534917,11071.739558854146
net,1998,3131.016158100707,4381.3771603937585,6213.695975380169,7236.026481066193,8724.768700239192,10299.834838440782,12106.65593795805,14463.629208747034,17110.90565694101,27032.386962285676,11072.241077801584
net,1999,3530.683387627049,4840.757837140947,6530.778764247303,7800.1072300085925,9164.90681635254,10899.050298109823,12748.642082932056,15687.4811821081,18375.76359094534,28890.166562879305,11849.800701926884
net,2000,3625.643273133459,5297.438434156894,6715.714431169347,8180.853371405432,9872.641921235881,11576.34282484639,13563.822096326658,15804.601177365268,19512.127056729314,28555.132838770787,12273.413978259083
net,2001,3548.1922696889264,5192.194928937424,7248.559518715991,8732.194438557643,9977.195298675913,12138.31719648633,14584.379288725546,15929.008485735505,20068.711865457983,30803.76532781579,12823.940529226875
net,2002,3466.8251961106116,4878.399778370342,7055.985380759017,7934.897372568727,9657.335313184098,11635.824252753591,13315.221997849243,15879.90678658208,19030.786362894993,29224.662131722038,12209.99739700721
net,2003,3318.9464387483363,4832.5795877659875,6397.455230235457,7992.708142846461,9747.951384162261,11453.091763631683,13664.92442044115,15896.764991056503,18996.42124767069,28132.964170329957,12045.776638007026
net,2004,3290.939667689485,4747.585641761541,6558.474359543922,8269.274777195027,10269.51484584807,11719.267295046498,14301.166014644494,16204.81299324671,19858.65342789739,29389.63220863137,12462.34564722315
net,2005,3391.786718725686,4904.208332110163,6666.05705425648,8556.149875886458,10511.211303497823,12010.451314326565,14248.10134075017,16734.073897376747,20009.56857655368,32170.05274248895,12924.310027463547
net,2006,3819.412852579165,5070.779338385376,6935.672621663255,8457.880116174392,10431.66066524132,12693.002274096289,14423.326078615915,16681.86992462304,20703.258171830465,32535.050133478166,13177.255138062745
net,2007,3763.715184503657,5586.507970320525,7000.556688754415,8993.694966604506,11027.19447552583,13147.027500076214,15588.830425570122,17751.836339061178,21369.087402218138,32270.18055315008,13652.232355349764
net,2008,3832.579824066109,5420.085957624916,7200.738789513637,9348.034557807245,11348.821752017171,13393.785146138782,15582.583675918997,18227.430619457526,21792.126364847118,34055.46783382449,14023.959016434563
net,2009,3645.7298171973307,5458.897660918153,7005.081058409989,8853.413720063272,11056.586041313489,13295.028545519068,15105.670468049075,18714.63589660101,22463.579365151953,35764.125311631666,14139.554287963343
net,2010,3714.688418200189,5796.059240970697,7038.933458901231,9136.68437136342,11297.847831756395,13661.708580514854,16186.609067730165,18696.524776275117,22531.24426059064,36759.9455706164,14484.626376521854
net,2011,4224.277444454075,5798.5922975767,7353.744911452381,9375.660267762602,11615.470603244568,14295.44977634801,15908.812200171204,19307.88957393674,23063.383658540504,33581.071341644034,14455.797924609797
